"medal_id","discipline_title","slug_game","event_title","event_gender","medal_type","participant_type","participant_title","athlete_url","athlete_full_name","country_name","country_code","country_3_letter_code"
19,"Freestyle Skiing","beijing-2022","Men's Freeski Big Air","Men","BRONZE","Athlete",NULL,"https://olympics.com/en/athletes/henrik-harlaut","Henrik HARLAUT","Sweden","SE","SWE"
20,"Freestyle Skiing","beijing-2022","Men's Freeski Big Air","Men","GOLD","Athlete",NULL,"https://olympics.com/en/athletes/birk-ruud","Birk RUUD","Norway","NO","NOR"
21,"Freestyle Skiing","beijing-2022","Men's Freeski Big Air","Men","SILVER","Athlete",NULL,"https://olympics.com/en/athletes/colby-stevenson","Colby STEVENSON","United States of America","US","USA"
22,"Freestyle Skiing","beijing-2022","Men's Ski Cross","Men","BRONZE","Athlete",NULL,"https://olympics.com/en/athletes/sergey-ridzik-1","Sergey RIDZIK","ROC","ROC","ROC"
23,"Freestyle Skiing","beijing-2022","Men's Ski Cross","Men","SILVER","Athlete",NULL,"https://olympics.com/en/athletes/alex-fiva","Alex FIVA","Switzerland","CH","SUI"
24,"Freestyle Skiing","beijing-2022","Men's Ski Cross","Men","GOLD","Athlete",NULL,"https://olympics.com/en/athletes/ryan-regez","Ryan REGEZ","Switzerland","CH","SUI"
25,"Freestyle Skiing","beijing-2022","Women's Freeski Big Air","Women","BRONZE","Athlete",NULL,"https://olympics.com/en/athletes/mathilde-gremaud","Mathilde GREMAUD","Switzerland","CH","SUI"
26,"Freestyle Skiing","beijing-2022","Women's Freeski Big Air","Women","GOLD","Athlete",NULL,"https://olympics.com/en/athletes/gu-ailing-eileen","Ailing Eileen GU","People's Republic of China","CN","CHN"
27,"Freestyle Skiing","beijing-2022","Women's Freeski Big Air","Women","SILVER","Athlete",NULL,"https://olympics.com/en/athletes/tess-ledeux","Tess LEDEUX","France","FR","FRA"
28,"Freestyle Skiing","beijing-2022","Women's Moguls","Women","SILVER","Athlete",NULL,"https://olympics.com/en/athletes/kauf","Jaelin KAUF","United States of America","US","USA"
29,"Freestyle Skiing","beijing-2022","Women's Moguls","Women","GOLD","Athlete",NULL,"https://olympics.com/en/athletes/anthony","Jakara ANTHONY","Australia","AU","AUS"
30,"Freestyle Skiing","beijing-2022","Women's Moguls","Women","BRONZE","Athlete",NULL,"https://olympics.com/en/athletes/anastasiia-smirnova","Anastasiia SMIRNOVA","ROC","ROC","ROC"
31,"Freestyle Skiing","beijing-2022","Mixed Team Aerials","Mixed","GOLD","GameTeam","United States",NULL,NULL,"United States of America","US","USA"
32,"Freestyle Skiing","beijing-2022","Mixed Team Aerials","Mixed","SILVER","GameTeam","China",NULL,NULL,"People's Republic of China","CN","CHN"
33,"Freestyle Skiing","beijing-2022","Mixed Team Aerials","Mixed","BRONZE","GameTeam","Canada",NULL,NULL,"Canada","CA","CAN"
34,"Freestyle Skiing","beijing-2022","Women's Ski Cross","Women","SILVER","Athlete",NULL,"https://olympics.com/en/athletes/marielle-thompson","Marielle THOMPSON","Canada","CA","CAN"
35,"Freestyle Skiing","beijing-2022","Women's Ski Cross","Women","GOLD","Athlete",NULL,"https://olympics.com/en/athletes/sandra-naeslund","Sandra NAESLUND","Sweden","SE","SWE"
36,"Freestyle Skiing","beijing-2022","Women's Ski Cross","Women","BRONZE","Athlete",NULL,"https://olympics.com/en/athletes/daniela-maier","Daniela MAIER","Germany","DE","GER"
37,"Freestyle Skiing","beijing-2022","Men's Aerials","Men","BRONZE","Athlete",NULL,"https://olympics.com/en/athletes/ilia-burov","Ilia BUROV","ROC","ROC","ROC"
38,"Freestyle Skiing","beijing-2022","Men's Aerials","Men","GOLD","Athlete",NULL,"https://olympics.com/en/athletes/guangpu-qi","Guangpu QI","People's Republic of China","CN","CHN"
39,"Freestyle Skiing","beijing-2022","Men's Aerials","Men","SILVER","Athlete",NULL,"https://olympics.com/en/athletes/oleksandr-abramenko","Oleksandr ABRAMENKO","Ukraine","UA","UKR"
40,"Freestyle Skiing","beijing-2022","Women's Aerials","Women","SILVER","Athlete",NULL,"https://olympics.com/en/athletes/hanna-huskova","Hanna HUSKOVA","Belarus","BY","BLR"
41,"Freestyle Skiing","beijing-2022","Women's Aerials","Women","GOLD","Athlete",NULL,"https://olympics.com/en/athletes/mengtao-xu","Mengtao XU","People's Republic of China","CN","CHN"
42,"Freestyle Skiing","beijing-2022","Women's Aerials","Women","BRONZE","Athlete",NULL,"https://olympics.com/en/athletes/megan-nick","Megan NICK","United States of America","US","USA"
43,"Freestyle Skiing","beijing-2022","Women's Freeski Halfpipe","Women","SILVER","Athlete",NULL,"https://olympics.com/en/athletes/cassie-sharpe","Cassie SHARPE","Canada","CA","CAN"
44,"Freestyle Skiing","beijing-2022","Women's Freeski Halfpipe","Women","GOLD","Athlete",NULL,"https://olympics.com/en/athletes/gu-ailing-eileen","Ailing Eileen GU","People's Republic of China","CN","CHN"
45,"Freestyle Skiing","beijing-2022","Women's Freeski Halfpipe","Women","BRONZE","Athlete",NULL,"https://olympics.com/en/athletes/rachel-karker","Rachel KARKER","Canada","CA","CAN"
46,"Freestyle Skiing","beijing-2022","Women's Freeski Slopestyle","Women","SILVER","Athlete",NULL,"https://olympics.com/en/athletes/gu-ailing-eileen","Ailing Eileen GU","People's Republic of China","CN","CHN"
47,"Freestyle Skiing","beijing-2022","Women's Freeski Slopestyle","Women","GOLD","Athlete",NULL,"https://olympics.com/en/athletes/mathilde-gremaud","Mathilde GREMAUD","Switzerland","CH","SUI"
48,"Freestyle Skiing","beijing-2022","Women's Freeski Slopestyle","Women","BRONZE","Athlete",NULL,"https://olympics.com/en/athletes/kelly-sildaru","Kelly SILDARU","Estonia","EE","EST"
49,"Freestyle Skiing","beijing-2022","Men's Freeski Slopestyle","Men","SILVER","Athlete",NULL,"https://olympics.com/en/athletes/nicholas-goepper","Nicholas GOEPPER","United States of America","US","USA"
50,"Freestyle Skiing","beijing-2022","Men's Freeski Slopestyle","Men","BRONZE","Athlete",NULL,"https://olympics.com/en/athletes/jesper-tjader","Jesper TJADER","Sweden","SE","SWE"
51,"Freestyle Skiing","beijing-2022","Men's Freeski Slopestyle","Men","GOLD","Athlete",NULL,"https://olympics.com/en/athletes/alexander-hall-1","Alexander HALL","United States of America","US","USA"
52,"Short Track Speed Skating","beijing-2022","Women's 500m","Women","SILVER","Athlete",NULL,"https://olympics.com/en/athletes/suzanne-schulting","Suzanne SCHULTING","Netherlands","NL","NED"
53,"Short Track Speed Skating","beijing-2022","Women's 500m","Women","BRONZE","Athlete",NULL,"https://olympics.com/en/athletes/boutin","Kim BOUTIN","Canada","CA","CAN"
54,"Short Track Speed Skating","beijing-2022","Women's 500m","Women","GOLD","Athlete",NULL,"https://olympics.com/en/athletes/arianna-fontana","Arianna FONTANA","Italy","IT","ITA"
55,"Short Track Speed Skating","beijing-2022","Men's 500m","Men","BRONZE","Athlete",NULL,"https://olympics.com/en/athletes/steven-dubois","Steven DUBOIS","Canada","CA","CAN"
56,"Short Track Speed Skating","beijing-2022","Men's 500m","Men","GOLD","Athlete",NULL,"https://olympics.com/en/athletes/shaoang-liu","Shaoang LIU","Hungary","HU","HUN"
57,"Short Track Speed Skating","beijing-2022","Men's 500m","Men","SILVER","Athlete",NULL,"https://olympics.com/en/athletes/konstantin-ivliev","Konstantin IVLIEV","ROC","ROC","ROC"
58,"Short Track Speed Skating","beijing-2022","Men's 5000m Relay","Men","GOLD","GameTeam","Canada",NULL,NULL,"Canada","CA","CAN"
59,"Short Track Speed Skating","beijing-2022","Men's 5000m Relay","Men","SILVER","GameTeam","Republic of Korea",NULL,NULL,"Republic of Korea","KR","KOR"
60,"Short Track Speed Skating","beijing-2022","Men's 5000m Relay","Men","BRONZE","GameTeam","Italy",NULL,NULL,"Italy","IT","ITA"
61,"Short Track Speed Skating","beijing-2022","Team Relay","Mixed","GOLD","GameTeam","People's Republic of China",NULL,NULL,"People's Republic of China","CN","CHN"
62,"Short Track Speed Skating","beijing-2022","Team Relay","Mixed","SILVER","GameTeam","Italy",NULL,NULL,"Italy","IT","ITA"
63,"Short Track Speed Skating","beijing-2022","Team Relay","Mixed","BRONZE","GameTeam","Hungary",NULL,NULL,"Hungary","HU","HUN"
64,"Short Track Speed Skating","beijing-2022","Men's 1500m","Men","BRONZE","Athlete",NULL,"https://olympics.com/en/athletes/semen-elistratov","Semen ELISTRATOV","ROC","ROC","ROC"
65,"Short Track Speed Skating","beijing-2022","Men's 1500m","Men","GOLD","Athlete",NULL,"https://olympics.com/en/athletes/daeheon-hwang","Daeheon HWANG","Republic of Korea","KR","KOR"
66,"Short Track Speed Skating","beijing-2022","Men's 1500m","Men","SILVER","Athlete",NULL,"https://olympics.com/en/athletes/steven-dubois","Steven DUBOIS","Canada","CA","CAN"
67,"Short Track Speed Skating","beijing-2022","Men's 1000m","Men","GOLD","Athlete",NULL,"https://olympics.com/en/athletes/ren","Ziwei REN","People's Republic of China","CN","CHN"
68,"Short Track Speed Skating","beijing-2022","Men's 1000m","Men","SILVER","Athlete",NULL,"https://olympics.com/en/athletes/wenlong-li","Wenlong LI","People's Republic of China","CN","CHN"
69,"Short Track Speed Skating","beijing-2022","Men's 1000m","Men","BRONZE","Athlete",NULL,"https://olympics.com/en/athletes/shaoang-liu","Shaoang LIU","Hungary","HU","HUN"
70,"Short Track Speed Skating","beijing-2022","Women's 3000m Relay","Women","GOLD","GameTeam","Netherlands",NULL,NULL,"Netherlands","NL","NED"
71,"Short Track Speed Skating","beijing-2022","Women's 3000m Relay","Women","SILVER","GameTeam","Republic of Korea",NULL,NULL,"Republic of Korea","KR","KOR"
72,"Short Track Speed Skating","beijing-2022","Women's 3000m Relay","Women","BRONZE","GameTeam","People's Republic of China",NULL,NULL,"People's Republic of China","CN","CHN"
73,"Short Track Speed Skating","beijing-2022","Women's 1000m","Women","GOLD","Athlete",NULL,"https://olympics.com/en/athletes/suzanne-schulting","Suzanne SCHULTING","Netherlands","NL","NED"
74,"Short Track Speed Skating","beijing-2022","Women's 1000m","Women","SILVER","Athlete",NULL,"https://olympics.com/en/athletes/choi-minjeong","Minjeong CHOI","Republic of Korea","KR","KOR"
75,"Short Track Speed Skating","beijing-2022","Women's 1000m","Women","BRONZE","Athlete",NULL,"https://olympics.com/en/athletes/hanne-desmet","Hanne DESMET","Belgium","BE","BEL"
76,"Short Track Speed Skating","beijing-2022","Women's 1500m","Women","GOLD","Athlete",NULL,"https://olympics.com/en/athletes/choi-minjeong","Minjeong CHOI","Republic of Korea","KR","KOR"
77,"Short Track Speed Skating","beijing-2022","Women's 1500m","Women","BRONZE","Athlete",NULL,"https://olympics.com/en/athletes/suzanne-schulting","Suzanne SCHULTING","Netherlands","NL","NED"
78,"Short Track Speed Skating","beijing-2022","Women's 1500m","Women","SILVER","Athlete",NULL,"https://olympics.com/en/athletes/arianna-fontana","Arianna FONTANA","Italy","IT","ITA"
79,"Snowboard","beijing-2022","Women's Snowboard Halfpipe","Women","SILVER","Athlete",NULL,"https://olympics.com/en/athletes/queralt-castellet","Queralt CASTELLET","Spain","ES","ESP"
80,"Snowboard","beijing-2022","Women's Snowboard Halfpipe","Women","BRONZE","Athlete",NULL,"https://olympics.com/en/athletes/tomita","Sena TOMITA","Japan","JP","JPN"
81,"Snowboard","beijing-2022","Women's Snowboard Halfpipe","Women","GOLD","Athlete",NULL,"https://olympics.com/en/athletes/chloe-kim","Chloe KIM","United States of America","US","USA"
82,"Snowboard","beijing-2022","Mixed Team Snowboard Cross","Mixed","GOLD","GameTeam","United States of America 1","https://olympics.com/en/athletes/nick-baumgartner","Nick BAUMGARTNER","United States of America","US","USA"
83,"Snowboard","beijing-2022","Mixed Team Snowboard Cross","Mixed","GOLD","GameTeam","United States of America 1","https://olympics.com/en/athletes/lindsey-jacobellis","Lindsey JACOBELLIS","United States of America","US","USA"
84,"Snowboard","beijing-2022","Mixed Team Snowboard Cross","Mixed","SILVER","GameTeam","Italy 1","https://olympics.com/en/athletes/omar-visintin","Omar VISINTIN","Italy","IT","ITA"
85,"Snowboard","beijing-2022","Mixed Team Snowboard Cross","Mixed","SILVER","GameTeam","Italy 1","https://olympics.com/en/athletes/michela-moioli","Michela MOIOLI","Italy","IT","ITA"
86,"Snowboard","beijing-2022","Mixed Team Snowboard Cross","Mixed","BRONZE","GameTeam","Canada 1","https://olympics.com/en/athletes/eliot-grondin","Eliot GRONDIN","Canada","CA","CAN"
87,"Snowboard","beijing-2022","Mixed Team Snowboard Cross","Mixed","BRONZE","GameTeam","Canada 1","https://olympics.com/en/athletes/meryeta-odine","Meryeta ODINE","Canada","CA","CAN"
88,"Snowboard","beijing-2022","Women's Snowboard Cross","Women","BRONZE","Athlete",NULL,"https://olympics.com/en/athletes/meryeta-odine","Meryeta ODINE","Canada","CA","CAN"
89,"Snowboard","beijing-2022","Women's Snowboard Cross","Women","SILVER","Athlete",NULL,"https://olympics.com/en/athletes/chloe-trespeuch","Chloe TRESPEUCH","France","FR","FRA"
90,"Snowboard","beijing-2022","Women's Snowboard Cross","Women","GOLD","Athlete",NULL,"https://olympics.com/en/athletes/lindsey-jacobellis","Lindsey JACOBELLIS","United States of America","US","USA"
91,"Snowboard","beijing-2022","Men's Parallel Giant Slalom","Men","SILVER","Athlete",NULL,"https://olympics.com/en/athletes/tim-mastnak","Tim MASTNAK","Slovenia","SI","SLO"
92,"Snowboard","beijing-2022","Men's Parallel Giant Slalom","Men","GOLD","Athlete",NULL,"https://olympics.com/en/athletes/benjamin-karl","Benjamin KARL","Austria","AT","AUT"
93,"Snowboard","beijing-2022","Men's Parallel Giant Slalom","Men","BRONZE","Athlete",NULL,"https://olympics.com/en/athletes/vic-wild","Vic WILD","ROC","ROC","ROC"
94,"Snowboard","beijing-2022","Women's Snowboard Big Air","Women","BRONZE","Athlete",NULL,"https://olympics.com/en/athletes/murase-kokomo","Kokomo MURASE","Japan","JP","JPN"
95,"Snowboard","beijing-2022","Women's Snowboard Big Air","Women","SILVER","Athlete",NULL,"https://olympics.com/en/athletes/zoi-sadowski-synnott","Zoi SADOWSKI SYNNOTT","New Zealand","NZ","NZL"
96,"Snowboard","beijing-2022","Women's Snowboard Big Air","Women","GOLD","Athlete",NULL,"https://olympics.com/en/athletes/anna-gasser","Anna GASSER","Austria","AT","AUT"
97,"Snowboard","beijing-2022","Men's Snowboard Cross","Men","BRONZE","Athlete",NULL,"https://olympics.com/en/athletes/omar-visintin","Omar VISINTIN","Italy","IT","ITA"
98,"Snowboard","beijing-2022","Men's Snowboard Cross","Men","SILVER","Athlete",NULL,"https://olympics.com/en/athletes/eliot-grondin","Eliot GRONDIN","Canada","CA","CAN"
99,"Snowboard","beijing-2022","Men's Snowboard Cross","Men","GOLD","Athlete",NULL,"https://olympics.com/en/athletes/alessandro-haemmerle","Alessandro HAEMMERLE","Austria","AT","AUT"
100,"Snowboard","beijing-2022","Men's Snowboard Slopestyle","Men","GOLD","Athlete",NULL,"https://olympics.com/en/athletes/parrot","Max PARROT","Canada","CA","CAN"
101,"Snowboard","beijing-2022","Men's Snowboard Slopestyle","Men","SILVER","Athlete",NULL,"https://olympics.com/en/athletes/yiming-su","Yiming SU","People's Republic of China","CN","CHN"
102,"Snowboard","beijing-2022","Men's Snowboard Slopestyle","Men","BRONZE","Athlete",NULL,"https://olympics.com/en/athletes/mark-mcmorris","Mark MCMORRIS","Canada","CA","CAN"
103,"Snowboard","beijing-2022","Men's Snowboard Halfpipe","Men","BRONZE","Athlete",NULL,"https://olympics.com/en/athletes/jan-scherrer","Jan SCHERRER","Switzerland","CH","SUI"
104,"Snowboard","beijing-2022","Men's Snowboard Halfpipe","Men","GOLD","Athlete",NULL,"https://olympics.com/en/athletes/ayumu-hirano","Ayumu HIRANO","Japan","JP","JPN"
105,"Snowboard","beijing-2022","Men's Snowboard Halfpipe","Men","SILVER","Athlete",NULL,"https://olympics.com/en/athletes/scotty-james","Scotty JAMES","Australia","AU","AUS"
106,"Snowboard","beijing-2022","Women's Snowboard Slopestyle","Women","BRONZE","Athlete",NULL,"https://olympics.com/en/athletes/tess-coady","Tess COADY","Australia","AU","AUS"
107,"Snowboard","beijing-2022","Women's Snowboard Slopestyle","Women","SILVER","Athlete",NULL,"https://olympics.com/en/athletes/julia-marino","Julia MARINO","United States of America","US","USA"
108,"Snowboard","beijing-2022","Women's Snowboard Slopestyle","Women","GOLD","Athlete",NULL,"https://olympics.com/en/athletes/zoi-sadowski-synnott","Zoi SADOWSKI SYNNOTT","New Zealand","NZ","NZL"
109,"Snowboard","beijing-2022","Women's Parallel Giant Slalom","Women","SILVER","Athlete",NULL,"https://olympics.com/en/athletes/daniela-ulbing","Daniela ULBING","Austria","AT","AUT"
110,"Snowboard","beijing-2022","Women's Parallel Giant Slalom","Women","GOLD","Athlete",NULL,"https://olympics.com/en/athletes/ester-ledecka","Ester LEDECKA","Czech Republic","CZ","CZE"
111,"Snowboard","beijing-2022","Women's Parallel Giant Slalom","Women","BRONZE","Athlete",NULL,"https://olympics.com/en/athletes/gloria-kotnik","Gloria KOTNIK","Slovenia","SI","SLO"
112,"Snowboard","beijing-2022","Men's Snowboard Big Air","Men","SILVER","Athlete",NULL,"https://olympics.com/en/athletes/roisland","Mons ROISLAND","Norway","NO","NOR"
113,"Snowboard","beijing-2022","Men's Snowboard Big Air","Men","GOLD","Athlete",NULL,"https://olympics.com/en/athletes/yiming-su","Yiming SU","People's Republic of China","CN","CHN"
114,"Snowboard","beijing-2022","Men's Snowboard Big Air","Men","BRONZE","Athlete",NULL,"https://olympics.com/en/athletes/parrot","Max PARROT","Canada","CA","CAN"
115,"Ski Jumping","beijing-2022","Men's Team","Men","GOLD","GameTeam","Austria",NULL,NULL,"Austria","AT","AUT"
116,"Ski Jumping","beijing-2022","Men's Team","Men","SILVER","GameTeam","Slovenia",NULL,NULL,"Slovenia","SI","SLO"
117,"Ski Jumping","beijing-2022","Men's Team","Men","BRONZE","GameTeam","Germany",NULL,NULL,"Germany","DE","GER"
118,"Ski Jumping","beijing-2022","Men's LH Individual","Men","GOLD","Athlete",NULL,"https://olympics.com/en/athletes/marius-lindvik","Marius LINDVIK","Norway","NO","NOR"
119,"Ski Jumping","beijing-2022","Men's LH Individual","Men","SILVER","Athlete",NULL,"https://olympics.com/en/athletes/kobayashi","Ryoyu KOBAYASHI","Japan","JP","JPN"
120,"Ski Jumping","beijing-2022","Men's LH Individual","Men","BRONZE","Athlete",NULL,"https://olympics.com/en/athletes/geiger","Karl GEIGER","Germany","DE","GER"
121,"Ski Jumping","beijing-2022","Mixed Team","Mixed","GOLD","GameTeam","Slovenia",NULL,NULL,"Slovenia","SI","SLO"
122,"Ski Jumping","beijing-2022","Mixed Team","Mixed","SILVER","GameTeam","ROC",NULL,NULL,"ROC","ROC","ROC"
123,"Ski Jumping","beijing-2022","Mixed Team","Mixed","BRONZE","GameTeam","Canada",NULL,NULL,"Canada","CA","CAN"
124,"Ski Jumping","beijing-2022","Women's NH Individual","Women","SILVER","Athlete",NULL,"https://olympics.com/en/athletes/katharina-althaus","Katharina ALTHAUS","Germany","DE","GER"
125,"Ski Jumping","beijing-2022","Women's NH Individual","Women","GOLD","Athlete",NULL,"https://olympics.com/en/athletes/ursa-bogataj","Ursa BOGATAJ","Slovenia","SI","SLO"
126,"Ski Jumping","beijing-2022","Women's NH Individual","Women","BRONZE","Athlete",NULL,"https://olympics.com/en/athletes/kriznar","Nika KRIZNAR","Slovenia","SI","SLO"
127,"Ski Jumping","beijing-2022","Men's NH Individual","Men","BRONZE","Athlete",NULL,"https://olympics.com/en/athletes/dawid-kubacki","Dawid KUBACKI","Poland","PL","POL"
128,"Ski Jumping","beijing-2022","Men's NH Individual","Men","SILVER","Athlete",NULL,"https://olympics.com/en/athletes/manuel-fettner","Manuel FETTNER","Austria","AT","AUT"
129,"Ski Jumping","beijing-2022","Men's NH Individual","Men","GOLD","Athlete",NULL,"https://olympics.com/en/athletes/kobayashi","Ryoyu KOBAYASHI","Japan","JP","JPN"
130,"Figure skating","beijing-2022","Team Event","Mixed","GOLD","GameTeam","ROC","https://olympics.com/en/athletes/mark-kondratiuk","Mark KONDRATIUK","ROC","ROC","ROC"
131,"Figure skating","beijing-2022","Team Event","Mixed","GOLD","GameTeam","ROC","https://olympics.com/en/athletes/kamila-valieva","Kamila VALIEVA","ROC","ROC","ROC"
132,"Figure skating","beijing-2022","Team Event","Mixed","SILVER","GameTeam","United States of America",NULL,NULL,"United States of America","US","USA"
133,"Figure skating","beijing-2022","Team Event","Mixed","BRONZE","GameTeam","Japan",NULL,NULL,"Japan","JP","JPN"
134,"Figure skating","beijing-2022","Pair Skating","Mixed","GOLD","GameTeam","SUI Wenjing / HAN Cong","https://olympics.com/en/athletes/wenjing-sui","Wenjing SUI","People's Republic of China","CN","CHN"
135,"Figure skating","beijing-2022","Pair Skating","Mixed","GOLD","GameTeam","SUI Wenjing / HAN Cong","https://olympics.com/en/athletes/cong-han","Cong HAN","People's Republic of China","CN","CHN"
136,"Figure skating","beijing-2022","Pair Skating","Mixed","SILVER","GameTeam","TARASOVA Evgenia / MOROZOV Vladimir","https://olympics.com/en/athletes/tarasova","Evgenia TARASOVA","ROC","ROC","ROC"
137,"Figure skating","beijing-2022","Pair Skating","Mixed","SILVER","GameTeam","TARASOVA Evgenia / MOROZOV Vladimir","https://olympics.com/en/athletes/morozov","Vladimir MOROZOV","ROC","ROC","ROC"
138,"Figure skating","beijing-2022","Pair Skating","Mixed","BRONZE","GameTeam","MISHINA Anastasia / GALLIAMOV Aleksandr","https://olympics.com/en/athletes/anastasia-mishina","Anastasia MISHINA","ROC","ROC","ROC"
139,"Figure skating","beijing-2022","Pair Skating","Mixed","BRONZE","GameTeam","MISHINA Anastasia / GALLIAMOV Aleksandr","https://olympics.com/en/athletes/aleksandr-galliamov","Aleksandr GALLIAMOV","ROC","ROC","ROC"
140,"Figure skating","beijing-2022","Ice Dance","Mixed","GOLD","GameTeam","PAPADAKIS Gabriella / CIZERON Guillaume","https://olympics.com/en/athletes/gabriella-papadakis","Gabriella PAPADAKIS","France","FR","FRA"
141,"Figure skating","beijing-2022","Ice Dance","Mixed","GOLD","GameTeam","PAPADAKIS Gabriella / CIZERON Guillaume","https://olympics.com/en/athletes/guillaume-cizeron","Guillaume CIZERON","France","FR","FRA"
142,"Figure skating","beijing-2022","Ice Dance","Mixed","SILVER","GameTeam","SINITSINA Victoria / KATSALAPOV Nikita","https://olympics.com/en/athletes/victoria-sinitsina","Victoria SINITSINA","ROC","ROC","ROC"
143,"Figure skating","beijing-2022","Ice Dance","Mixed","SILVER","GameTeam","SINITSINA Victoria / KATSALAPOV Nikita","https://olympics.com/en/athletes/nikita-katsalapov","Nikita KATSALAPOV","ROC","ROC","ROC"
144,"Figure skating","beijing-2022","Ice Dance","Mixed","BRONZE","GameTeam","HUBBELL Madison / DONOHUE Zachary","https://olympics.com/en/athletes/madison-hubbell","Madison HUBBELL","United States of America","US","USA"
145,"Figure skating","beijing-2022","Ice Dance","Mixed","BRONZE","GameTeam","HUBBELL Madison / DONOHUE Zachary","https://olympics.com/en/athletes/donohue","Zachary DONOHUE","United States of America","US","USA"
146,"Figure skating","beijing-2022","Women Single Skating","Women","GOLD","Athlete",NULL,"https://olympics.com/en/athletes/anna-shcherbakova","Anna SHCHERBAKOVA","ROC","ROC","ROC"
147,"Figure skating","beijing-2022","Women Single Skating","Women","SILVER","Athlete",NULL,"https://olympics.com/en/athletes/alexandra-trusova","Alexandra Trusova","ROC","ROC","ROC"
148,"Figure skating","beijing-2022","Women Single Skating","Women","BRONZE","Athlete",NULL,"https://olympics.com/en/athletes/kaori-sakamoto","Kaori SAKAMOTO","Japan","JP","JPN"
149,"Figure skating","beijing-2022","Men Single Skating","Men","BRONZE","Athlete",NULL,"https://olympics.com/en/athletes/shoma-uno","Shoma UNO","Japan","JP","JPN"
150,"Figure skating","beijing-2022","Men Single Skating","Men","GOLD","Athlete",NULL,"https://olympics.com/en/athletes/chen","Nathan CHEN","United States of America","US","USA"
151,"Figure skating","beijing-2022","Men Single Skating","Men","SILVER","Athlete",NULL,"https://olympics.com/en/athletes/yuma-kagiyama","Yuma KAGIYAMA","Japan","JP","JPN"
152,"Luge","beijing-2022","Team Relay","Mixed","GOLD","GameTeam","Germany",NULL,NULL,"Germany","DE","GER"
153,"Luge","beijing-2022","Team Relay","Mixed","SILVER","GameTeam","Austria",NULL,NULL,"Austria","AT","AUT"
154,"Luge","beijing-2022","Team Relay","Mixed","BRONZE","GameTeam","Latvia",NULL,NULL,"Latvia","LV","LAT"
155,"Luge","beijing-2022","Doubles","Open","GOLD","GameTeam","WENDL Tobias / ARLT Tobias","https://olympics.com/en/athletes/tobias-wendl","Tobias WENDL","Germany","DE","GER"
